time,true_strain,true_stress
639,-0.29824969,-1.0395246
640,-0.298233,-1.0361101
641,-0.298233,-1.0339653
642.33333,-0.298233,-1.0313911
643.33333,-0.29824134,-1.0253762
644.33333,-0.29825803,-1.0223561
645.33333,-0.29826637,-1.0249215
646.66667,-0.29831227,-1.0283059
647.66667,-0.29829975,-1.025316
648.66667,-0.29828306,-1.0201854
649.66667,-0.29827055,-1.016766
651,-0.29823717,-1.0159419
652,-0.298233,-1.0163751
653,-0.298233,-1.0185202
654,-0.29824552,-1.0185075
655.33333,-0.29825386,-1.0193571
656.33333,-0.29823717,-1.0215192
657.33333,-0.298233,-1.0185202
658.66667,-0.298233,-1.015946
659.66667,-0.298233,-1.015946
660.66667,-0.29824134,-1.0159375
661.66667,-0.2982622,-1.0167744
663,-0.29827472,-1.0180488
664,-0.2982622,-1.0176325
665,-0.29828306,-1.0180403
666,-0.29832478,-1.0171399
667.33333,-0.29832478,-1.0158528
668.33333,-0.29833312,-1.0158444
669.33333,-0.29832895,-1.0158486
670.66667,-0.29827889,-1.0163285
671.66667,-0.29827889,-1.0189026
672.66667,-0.29827055,-1.022772
673.66667,-0.29828723,-1.0218966
675,-0.29832061,-1.016286
676,-0.29829141,-1.0163158
677,-0.2982622,-1.0184905
678,-0.29826637,-1.0202024
679.33333,-0.29827891,-1.0189026
680.33333,-0.29829566,-1.0167405
681.33333,-0.29827897,-1.0158993
682.66667,-0.298233,-1.015946
683.66667,-0.298233,-1.015946
684.66667,-0.298233,-1.015946
685.66667,-0.29824969,-1.0159291
687,-0.29830809,-1.0137251
688,-0.29835398,-1.0128201
689,-0.2983373,-1.0141238
690,-0.29826637,-1.0154831
691.33333,-0.29827889,-1.0158994
692.33333,-0.29832061,-1.0158571
693.33333,-0.29829975,-1.0158783
694.66667,-0.29830392,-1.015874
695.66667,-0.29833312,-1.0162734
696.66667,-0.29831227,-1.0180108
697.66667,-0.29827889,-1.0180447
699,-0.29831644,-1.0145741
700,-0.2983373,-1.0149814
701,-0.29834147,-1.0166933
702,-0.29836233,-1.0162437
703.33333,-0.29831227,-1.0180107
704.33333,-0.29824552,-1.0180785
705.33333,-0.29824969,-1.0163581
706.33333,-0.29830392,-1.016303
707.66667,-0.29830809,-1.0180149
708.66667,-0.29828312,-1.0171822
709.66667,-0.29829152,-1.0158866
711,-0.29824136,-1.0185117
712,-0.29823717,-1.018516
713,-0.29824969,-1.0163582
714,-0.29826637,-1.0159122
715.33333,-0.29827055,-1.0159079
716.33333,-0.29825803,-1.0159206
717.33333,-0.29825803,-1.0159206
718.33333,-0.29825386,-1.0159248
719.66667,-0.298233,-1.015946
720.66667,-0.29824969,-1.015071
721.66667,-0.29827472,-1.0146166
723,-0.2982622,-1.0167744
724,-0.29823717,-1.0142256
725,-0.298233,-1.0125138
726,-0.29824134,-1.0125053
727.33333,-0.29831227,-1.0128623
728.33333,-0.29832061,-1.0111377
729.33333,-0.2982622,-1.0133422
730.33333,-0.298233,-1.015946
731.66667,-0.2982622,-1.0142002
732.66667,-0.29828306,-1.0098888
733.66667,-0.2982622,-1.0064777
735,-0.298233,-1.0099396
736,-0.29824134,-1.0142214
737,-0.29825803,-1.0146335
738,-0.29827472,-1.0146166
739.33333,-0.29829141,-1.0154577
740.33333,-0.29829141,-1.0145996
741.33333,-0.29831644,-1.0150033
742.33333,-0.29832061,-1.0119958
743.66667,-0.29827889,-1.0064607
744.66667,-0.29824969,-1.0103517
745.66667,-0.298233,-1.015088
747,-0.29827889,-1.0146124
748,-0.29825803,-1.0137754
749,-0.298233,-1.0150879
750,-0.29823717,-1.0159418
751.33333,-0.2982622,-1.0159164
752.33333,-0.29829141,-1.0158867
753.33333,-0.29831644,-1.0158613
754.33333,-0.29831644,-1.0158613
755.66667,-0.2983373,-1.0158401
756.66667,-0.29832061,-1.0162861
757.66667,-0.29828306,-1.0180403
758.66667,-0.29825803,-1.0180657
760,-0.29827055,-1.0159079
761,-0.29827472,-1.0150456
762,-0.29824969,-1.0155
763.33333,-0.29824134,-1.0167956
764.33333,-0.29827889,-1.0133252
765.33333,-0.29828306,-1.0107468
766.33333,-0.29824552,-1.0094978
767.66667,-0.298233,-1.0125138
768.66667,-0.29824134,-1.0120763
769.66667,-0.2982622,-1.0077648
770.66667,-0.29826638,-1.0064737
772,-0.29826637,-1.0116227
773,-0.29824969,-1.0150714
774,-0.29824969,-1.0133549
775.33333,-0.29828306,-1.0103178
776.33333,-0.29826638,-1.0099057
777.33333,-0.29828723,-1.0085977
778.33333,-0.29833312,-1.0098385
779.66667,-0.29831644,-1.0132872
780.66667,-0.29831644,-1.0158609
781.66667,-0.29832061,-1.0132822
782.66667,-0.29828723,-1.0120295
784,-0.29824134,-1.0159375
785,-0.29827472,-1.0154746
786,-0.29831227,-1.0120043
787.33333,-0.2983373,-1.0102627
788.33333,-0.29831644,-1.0107129
789.33333,-0.29825803,-1.0124883
790.33333,-0.29823717,-1.0159418
791.66667,-0.29825386,-1.0142087
792.66667,-0.2982622,-1.0133422
793.66667,-0.29825803,-1.0150625
794.66667,-0.29824134,-1.0159375
796,-0.298233,-1.015946
797,-0.298233,-1.015946
798,-0.29824969,-1.0159291
799.33333,-0.2982622,-1.0150583
800.33333,-0.29824134,-1.0120763
801.33333,-0.29825803,-1.0112013
802.33333,-0.29829975,-1.0137331
803.66667,-0.2982622,-1.0120551
804.66667,-0.29822883,-1.0095148
805.66667,-0.29822883,-1.01166
806.66667,-0.29823717,-1.0129386
808,-0.29824134,-1.0107893
809,-0.29825803,-1.0107729
810,-0.29827472,-1.0094688
811,-0.29828306,-1.0090308
812.33333,-0.29824552,-1.0069237
813.33333,-0.29822466,-1.0052287
814.33333,-0.298233,-1.0060783
815.66667,-0.298233,-1.0082234
816.66667,-0.298233,-1.0090815
817.66667,-0.298233,-1.0073654
818.66667,-0.29824969,-1.0056323
820,-0.29829141,-1.0017289
821,-0.29829975,-1.0017208
822,-0.29830809,-1.004716
823,-0.29833312,-1.0051203
824.33333,-0.29829558,-1.0090189
825.33333,-0.29826637,-1.0069031
826.33333,-0.29827055,-1.0021799
827.66667,-0.29826637,-1.001755
828.66667,-0.29827055,-1.0086151
829.66667,-0.29829141,-1.0133133
830.66667,-0.29830392,-1.0128711
832,-0.29828306,-1.0094597
833,-0.29824552,-1.0034915
834,-0.29825803,-1.0047664
835,-0.29827889,-1.0107517
836.33333,-0.29829141,-1.0145998
837.33333,-0.29831644,-1.0120007
838.33333,-0.29829975,-1.0090142
839.66667,-0.29823717,-1.0099353
840.66667,-0.298233,-1.0082234
841.66667,-0.29824969,-1.0077775
842.66667,-0.2982622,-1.011197
844,-0.29827472,-1.0116135
845,-0.29833312,-1.00941
846,-0.2983665,-1.010235
847,-0.29832061,-1.0098517
848.33333,-0.29827055,-1.0060406
849.33333,-0.29827472,-1.0038915
850.33333,-0.29827472,-1.0051783
851.66667,-0.29827472,-1.0107553
852.66667,-0.29825803,-1.0107722
853.66667,-0.29823717,-1.0073611
854.66667,-0.298233,-1.0060783
856,-0.29824969,-1.0103517
857,-0.29826637,-1.0099057
858,-0.29826637,-1.0103347
859,-0.29829558,-1.0120214
